AltimeterType,MergedFileCycleNum,YearFraction,NumObservations,NumWeightObs,StdDev,GSML
0,128,1996.192383,454120,327662.09,83.09,-4.47
0,129,1996.219482,447730,322334.91,83.69,-4.44
0,130,1996.246582,455584,328958.81,85.45,-4.44
0,131,1996.273682,454298,326725.69,83.78,-4.39
0,132,1996.300781,452442,325682.59,81.56,-4.29
0,133,1996.327881,456269,328859.19,81.89,-4.16
0,134,1996.354981,453194,327001.69,84.06,-3.87
0,135,1996.38208,452744,326311.09,82.23,-3.51
0,136,1996.40918,451877,326495,82.43,-3.16
0,137,1996.436157,452920,327075.81,81.58,-2.81
999,138,1996.463257,456902,336869.59,87.58,-2.5
0,139,1996.490356,446445,324884.41,80.17,-2.25
0,140,1996.517456,446032,324852.41,79.61,-2.09
0,141,1996.544556,443509,324934.5,80.22,-2.08
0,142,1996.571655,443965,326401.19,81.6,-2.34
0,143,1996.598755,441431,324652.19,79.95,-2.98
0,144,1996.625855,429243,317032.41,80.3,-3.59
0,145,1996.652954,433635,320757.5,82.07,-4.29
0,146,1996.680054,435763,323207.09,83.19,-4.5
0,147,1996.707153,421757,312992.69,83.82,-4.16
0,148,1996.734253,418197,310227.19,86.26,-3.31
0,149,1996.761353,439809,325216.69,83.73,-2.11
999,150,1996.788452,422800,317016.91,89.63,-0.87
0,151,1996.815552,442658,326497.91,84.87,-0.09
0,152,1996.842651,446508,328274.41,85.64,-0.08
0,153,1996.869629,440232,323853.19,87.25,-0.76
0,154,1996.896729,447099,327901.5,85.6,-1.85
0,155,1996.923828,448968,326729.41,84.63,-2.99
0,156,1996.950928,453473,328337.91,83.52,-3.82
0,157,1996.978027,444732,321120.31,85.68,-4.74
0,158,1997.005127,455659,329054.5,85.13,-5.04
0,159,1997.032349,457155,329520.91,85.53,-5.02
0,160,1997.059448,457075,330623.41,86.92,-4.78
0,161,1997.08667,457949,331268.31,85.17,-4.45
999,162,1997.11377,467967,339873.19,91.85,-4.11
0,163,1997.140991,454376,329413.09,84.67,-3.73
0,164,1997.168213,452511,327236.69,84.21,-3.23
0,165,1997.195313,450816,325261.59,87.93,-2.61
0,166,1997.222534,451369,324758.41,86.77,-1.96
0,167,1997.249634,452629,326620,85.96,-1.52
0,168,1997.276856,450927,323958.81,85.09,-1.13
0,169,1997.303955,451582,324652,83.31,-0.79
0,170,1997.331177,452799,325869,82.96,-0.51
0,171,1997.358276,451514,324803,82.48,-0.1
0,172,1997.385498,451142,325823.5,84.32,0.43
0,173,1997.412598,449550,324851.09,86.2,1.24
999,174,1997.439819,220487,161502.09,96.82,1.91
0,175,1997.467041,448988,325569.91,87.95,2.78
0,176,1997.494141,444434,322816.19,89.8,3.57
0,177,1997.521362,445806,326439.81,90.04,4.21
0,178,1997.548462,445729,327203.19,92.13,4.74
0,179,1997.575684,440924,324321,91.67,5.33
999,180,1997.602783,430083,321599.59,99.7,5.88
0,181,1997.630005,438280,324052.59,96.09,6.43
0,182,1997.657105,429782,318278.69,99.4,6.86
0,183,1997.684326,427192,316427.81,102.64,7.18
0,184,1997.711426,432778,320511.5,105.26,7.45
0,185,1997.738648,428268,317415.09,106.51,7.68
999,186,1997.765869,403803,300841.41,114.66,7.48
0,187,1997.792969,437145,321247,110.73,7.7
0,188,1997.82019,439638,321904.31,110.47,7.48
0,189,1997.84729,440388,321287.59,113.14,7.15
0,190,1997.874512,441020,321714.41,114.81,6.46
0,191,1997.901611,435251,317383.41,113.13,6.08
0,192,1997.928833,444367,323089.91,116.08,5.59
0,193,1997.955933,439715,317573.81,114.94,5.05
0,194,1997.983154,452607,326469.91,110.72,4.94
0,195,1998.010254,448259,324733.91,107.21,5.19
0,196,1998.037476,440536,317667.31,102.61,5.7
999,197,1998.064697,399269,291118.91,107.48,6.32
0,198,1998.091797,447570,322269.09,104.61,6.82
0,199,1998.119019,445758,321770.09,101.06,7.13
0,200,1998.146118,449853,325007.09,99.62,7.35
0,201,1998.17334,448474,324213.5,99,7.56
0,202,1998.20044,448515,324165.09,97.53,7.82
0,203,1998.227661,446357,322642.69,98.13,8.02
0,204,1998.254761,441984,318214,95.31,8.28
0,205,1998.281982,442563,319377.09,96.17,8.41
0,206,1998.309082,445347,321147.19,95.4,8.3
0,207,1998.336304,445930,321185.31,96.03,7.8
0,208,1998.363525,448676,324339,94.48,6.83
999,209,1998.390625,409999,300714.69,99.6,5.81
0,210,1998.417847,420289,303708,95.11,4.61
0,211,1998.444946,438526,318463.09,95.66,4.16
0,212,1998.472168,449238,327094.69,93.57,4.08
0,213,1998.499268,446869,325829.69,92.16,4.02
0,214,1998.526489,449110,327781.19,89.49,3.75
0,215,1998.553589,443208,324706.41,90.54,3.23
999,216,1998.580811,367169,273571.69,97.79,2.59
0,217,1998.60791,435736,321633.31,88.97,2.34
0,218,1998.635132,436248,322535.59,89.95,1.95
0,219,1998.662354,430525,318681.41,90.8,1.92
0,220,1998.689453,428873,319105.5,89.2,1.98
0,221,1998.716675,436289,323977,89.35,2.15
0,222,1998.743774,433607,321880.5,87.59,2.44
0,223,1998.770996,432927,321157,90.38,3.13
999,224,1998.798096,440737,329890.31,97.46,3.83
